Original feature,Chandan rename
"Paroxysmal episodes of intense, acute periumbilical, midline, or diffuse abdominal pain lasting ≥1 hour (should be the most severe and distressing symptom)",Abdominal pain
Paroxysmal nocturnal dyspnea or orthopnea,
Paroxysmal sweats,
Partial pressure of oxygen &lt;60 mmHg or &lt;8 kPa,Partial pressure of oxygen <60 mmHg or <8 kPa
Participate in moderate recreational activities,
Participate in strenuous sports,
Passive-apathetic social withdrawal,
Pathologic Lesions,
Pathologic Size of Tumor,
Pathological T category,
Pathology,
Patient,
Patient Description,
Patient age,Age
Patient assumes pain is cardiac,
Patient body weight,
Patient consumed any amount of alcohol within the last 30 days OR patient had a positive blood alcohol level upon admission,
Patient description,
"Patient different than baseline, pre-hospital mental status",
Patient does not have severe hepatic impairment,
Patient global assessment of disease activity,
Patient has allergic rhinitis,
Patient has atopic dermatitis,
"Patient has elevated cholesterol, family history of FH, and/or family history of premature cardiac death",
Patient height,Height
Patient hematocrit,
Patient is acutely ill and there has been or is likely to be no nutritional intake for &gt;5 days,Patient is acutely ill and there has been or is likely to be no nutritional intake for >5 days
Patient on blood thinners,
Patient on loop diuretic,
Patient on neuromuscular blockade (NMBA),
Patient prone or on ECMO,
Patient response,
Patient sex,Sex
Patient status,
Patient using cardiotoxins,
Patient weight,
Patient wheezing OR unable to speak in full sentences while at rest/with minimal effort,
Patient with aeroallergen sensitivity (ex: hay fever),Fever
"Patient with allergy to milk, egg, or peanuts",
Patient with eczema,
Patient with family history of cardiomyopathy,
Patient with fluctuating mental status in past 24 hours by fluctuation of level of consciousness/sedation,Level of consciousness
"Patient with history of hypertension, coronary artery disease, OR diabetes",Hypertension
"Patient with known structural heart disease, shortness of breath and fatigue",
"Patient with marked heart failure symptoms at rest, despite maximum therapy",
Patient with premature cerebral or peripheral vascular disease,
Patient with premature coronary artery disease,
"Patient with previous MI, LV systolic dysfunction, or asymptomatic valvular disease",
Patient's ALP,
Patient's ALT,ALT
Patient's Ambulatory Ability,
Patient's Baseline Activity,
Patient's awareness of abnormal movements,
Patient's initial HgbS,
Patients on ventilators in the ED,
Patients with gastrostomy and >50% daily nutrition intake via G-tube,
Patient’s home address,
Pattern of joint/bursa involvement during episodes,
Pattern of spread,
Peak inspiratory pressure &ge;42 cm H₂O (&ge;4.1 kPa),Peak inspiratory pressure ≥42 cm H₂O (≥4.1 kPa)
Peak inspiratory pressure ≤20 cm H₂O (≤2.0 kPa),
Pedestrian or cyclist versus vehicle,
Penetrating mechanism,
Peptamen,
Peptic ulcer,
Peptic ulcer disease,
"Per medical opinion: Considering all the ways arthritis affects the patient, how well are they doing?",
"Per medical opinion: considering all the ways arthritis affects the patient, how well are they doing?",
Percent biopsy cores positive for cancer,
Percentage of head/neck affected,
Percentage of lower limbs affected,
Percentage of region affected,
Percentage of trunk affected,
Percentage of upper limbs affected,
Performance status,
Performance status <80% (Karnofsky),Karnofsky
Perfusion,
Peri-rectal disease,
Periannular complications,
Pericardial effusion on echocardiogram,
Pericardial fluid,
Pericarditis,
Period of time,
Peripheral CD34+,
Peripheral arthritis,
"Peripheral blood ANC ≥10,000 cells/µL",
Peripheral blood blasts,
Peripheral oxygen saturation,
Peripheral oxygen saturation on room air,
Peripheral pain/swelling,
Peripheral vascular disease,
Peritoneal soiling,
Peritonitis (rebound tenderness/guarding),
Periventricular,
Permanent intracardiac device or previous IE,
Perseveration,
Persisent anterograde amnesia (short-term memory deficits),
Persistent acute kidney injury,
"Persistent and exaggerated negative beliefs or expectations about oneself, others, or the world",
Persistent anterograde amnesia,
Persistent bacteremia,
Persistent inability to experience positive emotions,
Persistent negative emotional state,
"Persistent or intermittent, nonpainful, sensation of a lump or foreign body in the throat with no structural lesion identified on physical examination, laryngoscopy, or endoscopy",
Persistent or recurrent regurgitation of recently ingested food into the mouth with subsequent spitting or remastication and swallowing,
Persistent seizures despite trial of &ge;2 antiseizure medications,Persistent seizures despite trial of ≥2 antiseizure medications
Persistent vomiting,Nausea/vomiting
Persistent vomiting following surgery,Nausea/vomiting
"Persistent, distorted cognitions about the cause or consequences of the traumatic event that lead the individual to blame themselves or others",
Personal care (PC),
Personal history of alcohol abuse,
Personal history of illegal drug abuse,
Personal history of prescription drug abuse,
Pessimistic thoughts,
Phlegm,
Phosphate > 3.75 mg/dL (1.2 mmol/L) at 48-96 hours,
Physical ability,
Physical activity,
Physical changes,
Physical inactivity,
Physically active,
Physician initially suspected a serious condition,
Physician rating of disease activity,
Physiological changes,
Physiology (vital signs),
"Pitting edema, confined to symptomatic leg",
Place,
Planned or unplanned ICU admission,
Plasma volume,
"Plasma, cryoprecipitate, platelets, or IVIG",
Plasma-lyte A,
Plateau pressure (Pplat),
"Platelet concentration, x 1000 cells/μl",Platelet count
Platelet count,
Platelet count &ge;400&times;109/L,Platelet count
Platelet count 9/L,Platelet count
"Platelet count, cells x 109/L",Platelet count
"Platelet count, cells/L",Platelet count
Platelet unit content,Platelet count
Platelets 9/L,Platelet count
Platelets > upper limit of normal,Platelet count
"Platelets, &times;10&sup3;/&micro;L",Platelet count
"Platelets, G/L",Platelet count
"Platelets, ×10³/µL (10⁹/L)",Platelet count
Pleural effusion,
Pleural effusion on x-ray,
Pleural effusion present,
Pleural fluid LDH,LDH
"Pleural fluid LDH, U/L",LDH
Pleural fluid Protein,
Pleural or peritoneal fluid,
Pleural or peritoneal serous effusion (irrespective of cell content),
Pleuritic chest pain with pleural rub/effusion or pleural thickening,
Pneumonia,
Polyarthralgia,
Polymorphonuclear leukocytes,White blood cell count
Polymorphous exanthem,
Poor appetite or overeating?,Appetite
Poor attention,
Poor feeding,
Poor functional status,
Poor impulse control,Heart rate
Poor rapport,
Popliteal pulse loss (left),Heart rate
Popliteal pulse loss (right),Heart rate
Population,
Population risk,
Portal hypertension,Hypertension
Portal pressure/bilirubin,Bilirubin
Position,
Positive CSF,
Positive FAST,AST
Positive FAST for Intra-Abdominal Fluid,AST
Positive Factor V Leiden,
Positive blood alcohol level (BAL) on presentation,
Positive cardiac marker,
Positive culture for group A β-hemolytic streptococcus,
Positive direct Coombs test,
Positive family history of SpA,
Positive focal neurologic sign,
Positive lupus anticoagulant,
Positive prothrombin 20210A,
Positive retroperitoneal lymph nodes and/or microscopic metastasis beyond the pelvis,
Positive troponin at 2 hours,
Post heart or lung transplantation,
Post myocardial infarction pericarditis,
Post-thrombotic signs,
Post-transfusion platelet count,
Post-traumatic amnesia,
Post-traumatic seizure,
Postbronchodilator FEV1 (% Predicted normal value),
Postdate pregnancy,
Posterior MCA cortex (M3),
Posterior cortex immediately rostral to M3 (M6),
Posterior ligamentous complex,
Posterior tibial pulse loss (left),Heart rate
Posterior tibial pulse loss (right),Heart rate
Postoperative radiotherapy (PORT),
Postprandial fullness,
Posture,
Posturing/catalepsy,
Potassium,
Potassium &le;3.5 mEq/L,Potassium
"Potassium, mEq/L",Potassium
Pre-ECMO cardiac arrest,
Pre-ICH cognitive impairment,
Pre-chemotherapy leukocyte count >11x10⁹/L,White blood cell count
Pre-chemotherapy platelet count ≥350x10⁹/L,
Pre-eclampsia,
Pre-existing native valve disease,
Pre-operative CT done,
Pre-operative creatinine >2 mg/dL / 176.8 µmol/L,
Pre-operative treatment with insulin,Insulin
Pre-pregnancy weight,
Pre-stroke disability (mRS Score),
Pre-tPA NIH Stroke Scale,NIH Stroke Scale
Pre-test probability,
Pre-transfusion platelet count,
Preadmission dependence,
Preceding infection,
Precipitating event,
Predicted Diffusing Capacity of the Lung for Carbon Monoxide (DLCO),
Predicted Forced Vital Capacity (FVC),
Predicted baseline forced vital capacity (FVC),
Predisposing and/or precipitating factors,
Predisposing heart condition or injection drug use,
Predisposition to vasovagal symptoms,
Pregnancy,
Pregnancy (and recent pregnancy),Pregnancy
Pregnancy or postpartum,Pregnancy
Pregnant,Pregnancy
Pregnant patient,Pregnancy
Prematurity (&lt;32 weeks or between 32&ndash;38 weeks and corrected to &lt;45 weeks),Prematurity (<32 weeks or between 32-38 weeks and corrected to <45 weeks)
Preoccupation,
Preoperative CEA level >200 ng/mL,
Preoperative SpO₂,
Preoperative anemia (Hgb ≤10 g/dL),
"Preoperative creatinine, mg/dL",
Preoperative use of IABP,
Prescribed antihypertensive medication,
Prescribed steroids,
Presence of &ldquo;plus&rdquo; features&nbsp;,Presence of &ldquo;plus&rdquo; features 
"Presence of LPDs, LRDA, or BIPDs",
"Presence of Monosodium Urate (MSU) crystals in a symptomatic joint, bursa, or tophus",
Presence of a large fecal mass in the rectum,
Presence of a second systemic or brain disorder sufficient to produce dementia but is not considered to be the cause of the dementia,
Presence of any systemic or B symptoms,
"Presence of bleeding, petechiae or extensive bruising",
Presence of chronic thrombocytopenic disorder,
Presence of malignancy,
Presence of pain with walking,
Present or previous malignancy,
Present weight,
Presentation after prolonged excessive cannabis use,
Preterm birth (<37 wk),
Pretibial edema,
"Prevalence (or pre-test probability), %",
Previous DVT or PE,
Previous VTE,
Previous breast biopsy,
Previous cardiac surgery,
Previous chemotherapy,
Previous gestational diabetes,
Previous lower GI bleeding admission,
Previous patient-reported arthritis attack,
Previous radiotherapy,
"Previous, objectively diagnosed PE or DVT",
Previously documented DVT,
Primary grade,
Primary payer,
Primary site,
Primary site of the cancer,
Prior ACS or nitrate use,
Prior IV antibiotic therapy,
Prior PCI or prior MI,
Prior PE or DVT,
Prior drug-resistant pneumonia diagnosis within 1 year,
Prior external notes reviewed,
Prior history of VTE,
Prior major bleeding or predisposition to bleeding,
Prior revascularization,
Prior seizure,
Prior solid tumor,
Prior treatment with radiation,
Prior vaginal deliveries,
Prior/current alcohol abuse,
Probability of vascular cause on non-contrast computed tomography (NCCT),
Problems with concentration,
Procalcitonin ≥0.5 ng/mL,
Processed blood,
Progressive worsening of memory and other cognitive functions,
Projectile vomiting,Nausea/vomiting
Prolongation of expiration,
"Prolonged PR interval, after accounting for age variability (unless carditis is a major criterion)",Age
"Prolonged PT, seconds",
Prostate height,Height
Prostate length,
Prostate width,
Prosthetic IE,
Prosthetic endocarditis,
Proteinuria,
Pruritus,
Psoriasis,
Psychiatric anxiety,
Psychiatric disturbance,
Psychiatric illness,
Psychological risk,
Psychomotor agitation or retardation,
Psychosis,
Pulmocare,
Pulmonary artery systolic pressure,Systolic BP
"Pulmonary artery systolic pressure, mm Hg",Systolic BP
Pulmonary comorbidity,
Pulmonary congestion on chest x-ray,Chest x-ray
Pulmonary disease,
Pulmonary dysfunction,
Pulmonary radiography,
Pulmonary rales,
Pulmonary vascular resistance &lt;5 Wood units on right heart catheterization,Pulmonary vascular resistance <5 Wood units on right heart catheterization
Pulse,Heart rate
Pulse &ge;109 beats/min,Heart rate
Pulse &ge;125 beats/min,Heart rate
Pulse >90 bpm,Heart rate
Pulse and BP inequality,Heart rate
Pulse inequality,Heart rate
Pulse oximetry,Heart rate
Pulse pressure before ECMO ≤20 mmHg,Heart rate
"Pulse, beats per minute",Heart rate
Pupil response,
Pupil size,
Pupils,
Purulent pleural fluid,
Purulent tonsils,
Pyoderma gangrenosum,
Pyramidal,
Pyrexia,
Pyuria,
PₐCO₂,
Q1: Do you have any symptoms that are bothering you?,
Q2: Are you able to do the same work as before?,
Q3: Are you able to keep up with your hobbies?,
Q4: Have you maintained your ties to friends and family?,
"Q5: Do you need help making a simple meal, doing household chores, or balancing a checkbook?",
Q6: Do you need help with shopping or traveling close to home?,
Q7: Do you need another person to help you walk?,
"Q8: Do you need help with eating, going to the toilet, or bathing?",
Q9: Do you stay in bed most of the day and need constant nursing care?,
QRS amplitude in lead V2,
QRS duration &gt;130 ms,QRS duration >130 ms
QT interval,
Quarter hourly nebulizers (every 15 minutes),
R to S interval >100 ms in one precordial lead,
R wave amplitude in lead V4,
RASS is not 0 (alert and calm),
RASS ≥ -3,
RIF pain,
RIF tenderness,
"RLQ tenderness to cough, percussion, or hopping",
RV dysfunction,
Race,Race/Ethnicity
Race/ethnicity,Race/Ethnicity
Radial pulse loss (left),Heart rate
Radial pulse loss (right),Heart rate
Radius (cm),
Rales,
Rapid deceleration mechanism,
Rate of sodium correction,
Ratio of initial troponin to upper limit of normal,
Ratio of nodal positivity,
Reach and get down a 5-pound object (such as a bag of sugar) from above head,
Reach and get down a 5-pound object (such as a bag of sugar) from just above the head,
Reaching,
"Read ""Face"", ""Velvet"", ""Church"", ""Daisy"", ""Red"", and ask patient to repeat (do two trials and a recall later in exam)","Read Face, Velvet, Church, Daisy, Red, and ask patient to repeat (do two trials and a recall later in exam)"
"Read and ask patient to repeat: ""I only know that John is the one to help today""",Read and ask patient to repeat: I only know that John is the one to help today
"Read and ask patient to repeat: ""The cat always hid under the couch when dogs were in the room""",Read and ask patient to repeat: The cat always hid under the couch when dogs were in the room
"Read list of digits (2, 1, 8, 5, 4) at 1 digit/sec and ask patient to repeat them in the forward order",
"Read list of digits (7, 4, 2) at 1 digit/sec and ask patient to repeat them in the backward order",
Read list of letters and ask patient to tap with their hand at each letter A: FBAC MNAA JKLB AFAK DEAA AJAM OFAAB,
Reason other than failure to progress for first cesarean delivery,
Rebleeding Risk,
Rebound tenderness,
Recent (≤1 month trauma and/or surgery),
Recent MI,
Recent arterial puncture at a noncompressible site,
Recent history of spontaneous abortion,
Recent lumbar puncture,
Recent major bleeding,
Recent myocardial infarction,
Recent onset seizure,
Recent or current use of hepatotoxic drugs,
Recent stroke,
Recent surgery or trauma,
Recent syncope,
Recent travel for >6 hrs,
Recipient weight,
Reckless or self-destructive behavior,
Rectal bleeding,
Rectal examination showing fecal occult blood,
"Recurrent and prolonged periods of infant crying, fussing, or irritability reported by caregivers that occur without obvious cause and cannot be prevented or resolved by caregivers",
"Recurrent bloating and/or distension occurring, on average, &ge;1 day per week","Recurrent bloating and/or distension occurring, on average, ≥1 day per week"
"Recurrent distressing dreams where content and/or affect of dream are related to the traumatic event; in children, there may be frightening dreams without recognizable content",
Recurrent episodes of pain localized to the rectum and unrelated to defecation,
Recurrent or single thunderclap headache,Headache
Recurrent uncontrolled passage of fecal material in an individual with a developmental age of ≥4 years,Age
"Recurrent, involuntary, and intrusive distressing memories of the traumatic event; in children, repetitive play may occur where themes/aspects of the traumatic event are expressed",
Redness,
Reduced Platelet Count or Function,
Reduced appetite,Appetite
Reduced dietary intake in the last week,
Reduced mobility,
Reduced sleep,
Refractory VT/VF,
Regional lymph node status,Regional lymph node
Regurgitation,
Regurgitation is not preceded by retching,
Regurgitation ≥2 times per day for ≥3 weeks,
Related to defecation,
Reliability risk,
Relief of vomiting episodes by sustained cessation of cannabis use,Nausea/vomiting
Relieved with defecation,
Renal,
Renal bruit (left),
Renal bruit (right),
Renal comorbidity,
Renal disease,
"Renal disease (e.g., dialysis, glomerulonephritis, nephritic syndrome)",
Renal disease history,
Renal dysfunction,
Renal dysfunction (creatinine clearance 30-60 mL/min),
Renal function,
"Renal function (GFR), mL/min/m2",
Renal insufficiency,
Renal insufficiency or dialysis,
Renalcal,
Repeat CXR is significantly worsening,
Repeated regurgitation and rechewing or expulsion of food that begins soon after ingestion of a meal and does not occur during sleep,
Repetitive belching and/or increased flatus,
Replete Fiber,
Reported sadness,
Rescue inhaler usage per day,
Resolution in >15 days,
Respiration pattern,
Respirations,
Respiratory,
Respiratory Rate,Respiratory rate
Respiratory Rate &ge;30,Respiratory rate
Respiratory distress,
Respiratory dysfunction,
Respiratory failure,
Respiratory failure not fully explained by cardiac failure/fluid overload,
Respiratory hospitalization in past 6 months,
Respiratory infection in the last month,
Respiratory insufficiency,
Respiratory rate,
Respiratory rate &ge;22,Respiratory rate
Respiratory rate &ge;25,Respiratory rate
Respiratory rate &ge;30,Respiratory rate
Respiratory rate &ge;30 breaths/min,Respiratory rate
Respiratory rate &gt;20 or PaCO₂ &lt;32 mm Hg,PaCO₂
Respiratory rate &gt;22,Respiratory rate
Respiratory rate &gt;30 breaths/min,Respiratory rate
Respiratory rate >24,Respiratory rate
Respiratory rate ≥30,Respiratory rate
"Respiratory rate, breaths per min",Respiratory rate
"Respiratory rate, breaths per minute",Respiratory rate
"Respiratory rate, breaths/min",Respiratory rate
Respiratory symptoms present,
Response to therapy,
Resting Pulse Rate (BPM),Heart rate
Restless,
Restlessness observation during assessment,
Retardation,
Retractions,
Retrograde amnesia to the event ≥ 30 minutes,
Retrosternal chest pain or discomfort; cardiac causes should be ruled out,
Retrosternal symptoms including heartburn and chest pain,
Revised Trauma Score (RTS),
"Rhabdo secondary to seizures, syncope, exercise, statins, or myositis",
Rheumatic disease,
Rheumatoid factor,
Rheumatoid factor negative,
Rheumatologic disease,
"Rheumatologic disease (e.g., lupus, rheumatoid arthritis)",
Right iliac fossa (RIF) pain,
Right lower quadrant tenderness,
"Right upper abdominal quadrant mass, pain, or tenderness",
Right upper quadrant (Morison’s pouch) fluid,
Rigidity,
Ringer’s lactate,Lactate
Risk factor,
Risk factors,
Risk factors for neurotoxicity present,
Risk level,
Room air or supplemental O₂,
Route of N-Acetylcysteine (NAC),
Rovsing sign,
Run a short distance,
Run errands and shop,
Runny nose or tearing,
S,
S frequency,
S0: Small-vessel disease not detected,
S1: Potentially causal,
S2: Causal link uncertain,
"S3: Causal link unlikely, but disease is present",
S9: Incomplete workup,
"SAH 1 hemisphere, &gt;3 sulci, 1-3 mm","SAH 1 hemisphere, >3 sulci, 1-3 mm"
SAH bihemispheric or &gt;3 mm,SAH bihemispheric or >3 mm
SDH &ge;8 mm,SDH ≥8 mm
SDH &gt;4 to &lt;8 mm,SDH >4 to <8 mm
SLA,
SOFA Score,
"ST Elevation at the J-point, relative to QRS onset, is at least 1 mm AND has an amplitude at least 25% of the preceding S-wave",
ST segment depression on EKG,ECG
ST segment deviation on EKG?,ECG
ST segment elevation 60 ms after the J point in lead V3,
SaO₂,
SaO₂ <90% on arrival,SaO₂
Sacroiliitis on imaging,
Salivation,
Saturation ≤94% on room air,
Scalene muscle contractions present,
Scaling factor,
Scalp hematoma,
Scleral icterus or jaundice present,
Scratching,
Seborrhea,
Second recorded creatinine (Cr2),
Secondary grade,
Seizure,
Seizure activity,Seizure
Seizure after head injury (and no previous history of epilepsy),Seizure
Seizure after injury,Seizure
Seizure at (or prior to) initial presentation,Seizure
Seizure at stroke onset,Seizure
Seizure onset before age of 12 years,Age
Seizures (not hypertensive),Seizure
Select lowest line that patient can read correctly.,
Select measurement available,
Select most severe in lifetime,
Select most severe in the past month,
Select stats type,
Self-care,
"Self-dress, including shoelaces and buttons",
"Self-induced vomiting, eating disorders, regurgitation, or rumination  are excluded",Nausea/vomiting
Sensation,
Sensation of anorectal obstruction/blockage,
Sensation of anorectal obstruction/blockage more than one-fourth (25%) of defecations,
Sensation of incomplete evacuation,
Sensation of incomplete evacuation > 25% of the time,
Sensation of incomplete evacuation more than one-fourth (25%) of defecations,
"Sense of solid and/or liquid foods sticking, lodging, or passing abnormally through the esophagus",
"Sensitivity, %",
Sensory,
Sensory perception,
Sepsis,
Septic shock,
Septicemia,
Serology (need at least one serology test result to use these criteria),
Serositis,
Serum Albumin,
"Serum CA-125, U/mL",
Serum CO2 ≥35 mEq/L (35 mmol/L),
Serum CO₂ ≥35 mmol/L (mEq/L),
Serum LDH,LDH
Serum LDH > upper limit of normal,LDH
Serum LDH level >1× normal,LDH
Serum M component,
Serum Na < 132 mmol/L,
Serum Urate,
"Serum WBC count, 10⁹ cells/L",White blood cell count
Serum albumin,
"Serum albumin, g/dL (g/L)",
Serum alcohol concentration,
Serum alkaline phosphatase > 1.5x the upper limit of normal,
Serum and urine M component detectable by immunofixation but not on electrophoresis OR ≥90% reduction in serum M component plus urine M component <100 mg per 24 hrs,
Serum bicarbonate < 24,
"Serum bicarbonate, mEq/L (mmol/L)",
Serum bilirubin,Bilirubin
"Serum calcium, mg/dL (mmol/L)",
Serum creatinine,
"Serum creatinine, mg/dL",
Serum cystatin C,
Serum digoxin level,
Serum globulins or IgG,
Serum glucose,
Serum glucose >300 mg/dL (16.7 mmol/L) after 12 hr,
"Serum monoclonal protein, g/dL",
Serum neutrophil-to-lymphocyte ratio,
Serum osmolality,
"Serum phosphorus, mg/dL (mmol/L)",
Serum potassium,
Serum procalcitonin &gt;0.5 ng/mL,Serum procalcitonin >0.5 ng/mL
Serum sodium,
Serum uric acid > 5.88 mg/dL (0.35 mmol/L),
Serum β2 microglobulin,
"Serum β2 microglobulin, mg/L (or µg/mL)",
Setting,
Severe Renal Disease,
Severe abdominal pain,Abdominal pain
Severe angina (≥2 episodes in 24 hrs or persisting discomfort),
Severe angina (≥2 episodes in 24 hrs),
Severe comorbidities,
Severe disseminated intravascular coagulation (DIC),
Severe enough to interrupt daily activities or lead to an emergency department visit,
Severe hypoxemia,
Severe infection,
Severe liver impairment,
Severe or end-stage kidney disease,
Severe pain needing IV pain medication required >24 hr,
Severe sepsis or shock,
"Severe sepsis with hypotension, despite adequate fluid resuscitation",Hypotension
Severe tonsil inflammation,
Severity,
Severity (S),
Severity classification,
Severity of abnormal movements overall,
Severity of disease,
Severity of symptoms,
Sex,Sex/Gender
Sex at birth,Sex/Gender
Sexual practices,Sex/Gender
Shampoo hair,
Shock,
Shortness of breath,
Shortness of breath symptoms,
Signs of CHF at presentation,CHF
Signs of basal skull fracture,
Signs or symptoms of heart failure,
Signs/Symptoms,
Signs/symptoms,
Simultaneous presence of asymptomatic gadolinium-enhancing and nonenhancing lesions at any time.,
Single tumor with diameter ≤5 cm,
Site of aneurysm,
Site of lesion,
Size,
Size of aneurysm,
Size of largest nodule,
Size of largest tumor >5cm,
Size of lesion,
Skeletal immaturity,
Skeletal injury,
Skin induration,
Skin necrosis at subcutaneous heparin injection sites,
Skin rash extent >50%,
Skull injury,
Sleep,
Sleep disturbance,
Sleepiness descriptions,
Small amounts of urine leakage (drops),
Small bowel,
Smoke inhalation,
Smoker,
Smoking history,
Smoking status,
Smoking within last year,
Sneezing,
Social activity,
Social support risk,
Sodium,
Sodium &lt;130 mmol/L,Sodium
Sodium (mEq/L),Sodium
Sodium desired,Sodium
Sodium in other body fluid,Sodium
Sodium in other enteral solution,Sodium
"Sodium level at discharge, mEq/L",Sodium
"Sodium, mEq/L or mmol/L",Sodium
Solid areas,
Solid tumor,
Somatic anxiety,
Somatic concern,
Sorbitol-based osmotic diarrhea,
Source population,
SpO2,
SpO2 <95%,
SpO2/FiO2 ratio,
SpO₂,Oxygen saturation
SpO₂/FiO₂,Oxygen saturation
"Specificity, %",
Speech,
Speech disturbance,
Speech quality and mentation,
Spinal Cord,
Spinal cord palsy (Frankel Grade),
Spleen size,
Splenic enlargement with inferior margin below the umbilical line,
Sporadic epileptiform discharges,
Stage III-IV,
Stairs,
Stand up from a straight chair,
Staphylococcus aureus,
Staring,
Startle to touch,
State Behavioral Scale (SBS),
Station,
Status at onset of fever,Fever
Steatosis grade,
Stent diameter <3 mm,
Stereotyped thinking,
Stereotypical episodes of vomiting regarding onset (acute) and duration (<1 week),Nausea/vomiting
"Stereotypical episodic vomiting resembling cyclic vomiting syndrome (CVS) in terms of onset, duration, and frequency",Nausea/vomiting
Stereotypical pattern and symptoms in the individual patient,
Stereotypy,
Steroids for chronic condition,
Stone size in mm²,
Stool Osm,
Stool Type,
Stool frequency,
Stool potassium,
Stool sodium,
Stools,
Stools per day,
Straining,
Straining during more than one-fourth (25%) of defecations,
Straining: How often have you had to strain to start urination?,
Stress-induced hyperglycemia,
Stridor,
Stroke,
Stroke History,
Stroke history,
Stroke or TIA,
Stroke or TIA symptoms previously,
Stroke type,
Stroke/TIA/thromboembolism history,
Subacute change in extremities,
Subarachnoid hemorrhage present on imaging,
Subclavian bruit (left),
Subclavian bruit (right),
Subclavian pulse loss (left),Heart rate
Subclavian pulse loss (right),Heart rate
Subcutaneous nodules,
Substance use disorders,
Subtypes,
Sudden onset,
Suicidal thoughts,Suicidality
Suicidality,
Suicide,Suicidality
Sulfonylurea use,
Suplena,
Suprapubic fluid,
Suprasternal retractions present,
Surgery (under general anesthesia) or lower limb fracture in past month,
Surgery type,
Surgical incision,
Surgical margin,
Surgical status at ICU admission,
Surgical treatment,
Surgical urgency,
Suspected open or depressed skull fracture,
Suspected or present source of infection,
Suspected/confirmed endocarditis,
Suspicion of non‐accidental injury (NAI),
"Suspicion of penetrating or depressed skull injury, or tense fontanelle",
Suspiciousness,
SvO₂,
Swallowing,
Sweating,
Sweating observed,
Swollen Joint Count,
Swollen joint count,
Symmetric distribution,
Symptom burden,
Symptom criteria for chronic levator ani syndrome but no tenderness during posterior traction on the puborectalis muscle,
Symptom duration > 2 years,
Symptom onset ≤3 days,
Symptom severity,
Symptoms &ge;10 mins,Symptoms ≥10 mins
Symptoms >1 month before admission,
Symptoms began &le;5 days prior,Symptoms began ≤5 days prior
"Symptoms cause clinically significant distress or impairment in social, occupational, or other important areas of functioning",
Symptoms last >4 weeks,
"Symptoms of abdominal pain, flatulence, or bowel irregularity",Abdominal pain
Syncope,
Syncope during effort,
Syncope in supine position,
Syncope without prodrome,
Synovial fluid analysis of a symptomatic (ever) joint or bursa,
Synovitis,
Systolic BP,
Systolic BP &le;100,Systolic BP
Systolic BP &le;90 in ED,Systolic BP
Systolic BP &lt;90 mmHg or Diastolic BP &le;60 mmHg,Diastolic BP
Systolic BP < 100 mmHg,Systolic BP
Systolic BP <100 mmHg,Systolic BP
Systolic BP <90 mmHg at triage,Systolic BP
Systolic BP >140,Systolic BP
Systolic BP >140 mmHg,Systolic BP
"Systolic BP, mmHg",Systolic BP
Systolic Blood Pressure,Systolic BP
Systolic blood pressure,Systolic BP
Systolic blood pressure &lt;90 mmHg,Systolic BP
"Systolic blood pressure, mm Hg",Systolic BP
"Systolic blood pressure, mmHg",Systolic BP
Systolic pressure &lt;90 mmHg,Systolic BP
"TIMP1, ng/mg protein",
TP53 status,
TPN,
TPN sodium,
TT-TG/PL ≥0.5,
Tachycardia &ge;125,Tachycardia ≥125
Tachycardia (HR >120),
Tachycardia or bradycardia (if <1 year),
Tachypnea (respiratory rate >30),
Tachypnea or mechanical ventilation (related to an acute process),
Tactile disturbances,
Take a tub bath,
Take care of self,
Takes long time to respond to interactions,
Takes more than three prescription drugs per day,
Target BMI,BMI
Target hemoglobin,
Temp &gt;38&deg;C (100.4&deg;F),Temperature
Temp &gt;38&deg;C (100.4&deg;F) or &lt;36&deg;C (96.8&deg;F),Temperature
Temp > 38.5°C / 101.3°F,Temperature
Temp >100.4 °F (38°C),Temperature
Temp >38.5°C (101.3°F) or < 36°C (96.8°F),Temperature
Temp ≥101.3ºF (38.5ºC),Temperature
Temperature,
Temperature &deg;F (&deg;C),Temperature
Temperature &gt;100.4&deg;F (38.0&deg;C) within 24 hours of admission,Temperature
Temperature &lt;35&deg;C (95&deg;F) or &gt;39.9&deg;C (103.8&deg;F),Temperature
Temperature (&deg;C),Temperature
Temperature <36°C/96.8°F,Temperature
Temperature > 38.3°C (100.9°F),Temperature
Temperature >100.0 °F (37.8°C),Temperature
Temperature between 37°C and 39°C,Temperature
Temperature ≥39ºC (102.2ºF),Temperature
"Temperature, &deg;F (&deg;C)",Temperature
Tender Joint Count,
Tender joint count,
Tender/swollen anterior cervical lymph nodes,
Tenderness at the fibular head,
Tenderness during traction on the puborectalis,
Tenderness over right iliac fossa,
Tenderness to chest wall palpation,
Tendon xanthomas,
Tendon xanthomata,
Tenofivir (TDF) use,
Tension,
Tertiary grade,
Test of skew,
Testicular swelling,
Tests ordered,
Tests results reviewed (excluding labs),
Thalassemia,
The binge eating is not associated with the recurrent use of inappropriate compensatory behavior as in bulimia nervosa and does not occur exclusively during the course of bulimia nervosa or anorexia nervosa,
"The binge eating occurs, on average, at least once a week for 3 months",
The child is toilet-trained,
"The disturbance causes clinically significant distress or impairment in social, occupational, or other important areas of functioning",
"The disturbance is not attributable to the physiological effects of a substance (e.g. medication, alcohol) or another medical condition",
