,CDI,CDI Purpose,,CDI Outcome,CDI Outcome Measure,Follow-up? (Y/N),Direct or Indirect?,Bucket?,Notes,Aaron,,Kenshata,,Working Examples for Buckets
10053,Binet Staging System for Chronic Lymphocytic Leukemia (CLL),CLL stage classification.,1,10053 - chronic lymphocytic leukemia staging,"Stage 0, peripheral and bone marrow lymphocytosis without lymph node enlargement or splenomegaly; 

Stage I, peripheral and bone marrow lymphocytosis with lymph node enlargement but without splenomegaly; 

Stage II, peripheral and bone marrow lymphocytosis without lymph node enlargement but with palpable splenomegaly; 

Stage III, stage I + stage II; and 

Stage IV, peripheral and bone marrow lymphocytosis combined with either fairly severe anemia (hemoglobin < 10 g/100 ml) or fairly severe thrombocytopenia (platelets < 100,000/mm3). (Page 856 - Clinical Staging)

*follow-up involved",Y,Direct,in-person,E,,,Y,Direct,
10054,Rai Staging System for Chronic Lymphocytic Leukemia (CLL),CLL stage classification.,1,10054 - chronic lymphocytic leukemia staging,"At clinical stage 0, the findings at diagnosis were lymphocytosis only, in blood as well as in bone marrow (absolute lymphocytes, 15,OOO/cu mm or more in blood, with 40% or more lymphocytes in the marrow). 

At clinical stage I, the findings at diagnosis were lymphocytosis with enlarged lymph nodes. 

At clinical stage II, the findings at diagnosis were lymphocytosis with enlarged spleen or liver or both. Nodes mayor may not be enlarged. 

At clinical stage III, the findings at diagnosis were lymphocytosis with anemia (hemoglobin less than II g/IOO ml or hematocrit less than 33%). Nodes, spleen, or liver mayor may not be enlarged. No distinction was made with regard to the type of anemia, e.g., hemolytic or otherwise. 

At clincal stage IV, the findings at diagnosis were lymphocytosis with thrombocytopenia (platelet count less than lOO,OOO/cu mm). Anemia and organomegaly mayor may not be present. All hematologic tests were performed by the prevailing standard methods. The method of platelet counting varied between the different institutions. The indirect method of calculating the platelet count from the erythrocyte count and from the number of platelets per 1000 erythrocytes in the peripheral blood smear was used most often until the late 19508. In the 1960, all institutions gradually switched to the Brecher-Cronkite phase-contrast method. (Page 220-221 Materials and Methods)

*follow-up involved",Y,Indirect,database,E,,,Y,Indirect,
10059,PEDIS Score for Diabetic Foot Ulcers,Diabetic ulcer outcomes.,1,10059 - diabetic foot ulcer,"All patients were followed for at least 6 months or until death. Outcome was categorized as healed (defined as a continuous, viable epithelial covering over the entire previously open wound), unhealed (defined as not complete re-epithelialization of the wound), amputation (included minor and major amputations) or death (whether from related causes of DFU or not). (Page 4 - Outcome)

*follow-up involved",Y,Indirect,database,E,,,Y,Indirect,
10065,Steinhart Model for Acute Heart Failure (AHF) in Undifferentiated Dyspnea,AHF diagnosis with NT-proBNP.,1,10065 - acute heart failure,"Adjudication for AHF was determined independently by 2 cardiologists by use of the Framingham Heart Score and NHANES I (National Health and Nutrition Examination Survey) Heart Failure Criteria as guides. Each cardiologist (doctor) had available all index ED medical charts, further hospital admission test results and records (e.g., echocardiogram, computed tomography thorax, pulmonary function studies; patient response to diuretic or broncholytic therapy), and results of a 60-day follow-up telephone conversation but were blinded to the NT-proBNP levels. Because AHF is a clinical diagnosis, their final diagnoses were considered the “gold standard” reference for outcome measurements. (Page 1516 - Methods)

*follow-up involved",Y,Direct,telephone,E,,,Y,Direct,
10066,DIPSS (Dynamic International Prognostic Scoring System) for Myelofibrosis,Primary myelofibrosis survival.,1,10066 - survival in primary myelofibrosis,"The end points of the study were time to acquisition of the selected risk factors and survival. Risk factors were age older than 65 years, hemoglobin level lower than 100 g/L (10 g/dL), white blood cell count greater than 25*10^9/L, peripheral blood blasts equal to or greater than 1%, and presence of constitutional symptoms (10% weight loss in 6 months, night sweats, unexplained fever higher than 37.5°C). For each patient, the date of acquisition of these risk factors during follow-up was registered. (Study Design - Page 1704)",Y,Direct,in-person,E,,,Y,Direct,
10070,ALBI (Albumin-Bilirubin) Grade for Hepatocellular Carcinoma (HCC),HCC survival.,1,10070 - liver function,Survival was measured from the date of diagnosis (first presentation with HCC) to date of death or last follow-up. (Page 553 - Patients and Methods),Y,Indirect,database,E,,,Y,Indirect,
10071,REVEAL Registry Risk Score 2.0 for Pulmonary Arterial Hypertension (PAH),PAH survival.,1,10071 - pulmonary arterial hypertension survival,"1-year survival (evaluated by Kaplan-Meier curves) (Page 354 - Methods)

*follow-up involved",Y,Indirect,database,E,,,Y,Indirect,
10075,ACEF II Risk Score for Cardiac Surgery,Cardiac surgery mortality.,1,10075 - cardiac surgery mortality,"Operative mortality, defined as 

(i) in-hospital mortality at any time or 

(ii) mortality after discharge but within 30 days from surgery (Page 2184 - Definitions)

*follow-up involved (assumed but key term not explicitly listed)",N,-,,E,,,N,--,
10078,Pediatric NEXUS II Head CT Decision Instrument for Blunt Trauma,Pediatric head trauma.,1,10078 - pediatric head trauma,"Head CT scan results (Data Analysis - Page 956)

*follow-up involved",Y,Direct,database,E,,,Y,Direct,
10082,WPSS (WHO classification-based Prognostic Scoring System) for Myelodysplastic Syndrome,MDS survival.,1,10082 - myelodysplastic syndrome (MDS) prognosis,"The actuarial probabilities of overall survival (OS) and leukemia-free survival (LFS) were estimated using the Kaplan-Meier product limit method. (Page 233a - Abstract)

*follow-up involved",Y,Direct,in-person,E,,,Y,Direct,
10084,RegiSCAR Score for Drug Reaction with Eosinophilia and Systemic Symptoms (DRESS),RIP score.,1,10084 - recurrence risk after first-time dislocation,"Clinical and surgical notes were reviewed to determine episodes of recurrent instability and patients undergoing patellar stabilization surgery such as lateral retinacular release, medial retinacular imbrication, and MPFL repair or reconstruction. (Page 538 - Study Population and Design

*follow-up involved",Y,Indirect,database,E,,,Y,Indirect,
10087,Mehran Score for Post-PCI Contrast Nephropathy,Renal failure after cath.,1,10087 - contrast-induced nephropathy,"“Contrast-induced nephropathy” was defined as an increase of 25% or 0.5 mg/dl in pre-PCI serum creatinine at 48 h after PCI. (Page 1394 - Clinical Definitions and follow-up)

*follow-up involved",N,-,,E,Y,Unclear,Y,Unclear,jed said yes - unclear
10089,HScore for Reactive Hemophagocytic Syndrome,Hemophagocytic syndrome diagnosis.,1,10089 - hemophagocytic syndrome,"Pathologic findings (hemophagocytosis on bone marrow aspiration or biopsy) (Page 2614 - Patients and Methods)

*follow-up involved",Y,Indirect,database,E,Yes,Indirect,,,
10090,AWOL Score for Delirium,Delirium risk.,1,10090 - delirium,"All subjects were assessed for delirium daily for 6 days after enrollment or until discharge, whichever came first. Follow-up was limited to 6 days, based on the assumption that delirium occurring beyond 1 week is more likely due to events during the hospitalization as opposed to factors measurable at admission. Delirium was assessed using the short CAM, an internationally recognized and validated tool. To complete the CAM during follow-up visits, subjects and their nurses were interviewed using a written script, and an MMSE and forward digit span were performed. (Assessment of Outcomes Page 494)

*follow-up involved",Y,Direct,in-person/telephone,E,Yes,Direct,,,
10094,GALAD Model for Hepatocellular Carcinoma (HCC),HCC diagnosis.,1,10094 - hepatocellular carcinoma,"For all patients, the diagnosis was established by the histologic examination of tumor tissue (23%) or characteristic radiotherapy according to international guidelines (Materials and Methods - Page 145)

*follow-up involved",Y,Indirect,database,expert panel only,Y,Indirect,,,
10097,Preoperative Mortality Predictor (PMP) Score,Perioperative mortality.,1,10097 - mortality for general surgery,"For example, patients were categorized as surviving or dead on the basis of year of death. (Page 11 - Patient Selection and Data Collection)

*follow-up involved",Y,Indirect,database,E,Y,Indirect,,,
10098,Danger Assessment Tool for Domestic Abuse,Death by intimate partner violence.,1,10098 - IPV victims at greatest risk of being severely assaulted,"In the RAVE study, female victims of IPV were interviewed between 2002 and 2004. A follow-up interview was conducted an average of 9 months after the baseline interview. (Page 1209 - Study Setting and Population)

*follow-up involved",Y,Direct,telephone,E,Y,Direct,,,
10099,Systemic Lupus Erythematosus Disease Activity Index 2000 (SLEDAI-2K),SLE severity.,1,10099 - systemic lupus erythematosus,"1993. A clinician who did not know the patients and was blind to their SLEDAI score evaluated each patient record and assigned a clinical activity score for each assessment according to the following scale: 0 = no activity; 1 = mild activity with no therapeutic intervention; 2 = activity, but improvement from previous visit; 3 = persistent activity/refractory to treatment; 4 = flare, defined as one of the following: the introduction of new treatment in the presence of worsening of an already active system or in response to the activation of a new system; an increase in medication dosage for the above reasons; indication of concern in the physician’s notes (arrangement for an earlier appointment for the assessment of SLE disease activity or investigation related to SLE including measurement of anti-DNA antibodies and serum complement levels, and 24 hour urine protein determination); the use of the term flare in the physician’s notes (i.e., treating physician’s impression of increased disease activity); new diagnosis of SLE. (Page 289-290 Materials and Methods)

*follow-up involved",Y,Direct,database,E,Y,Direct,,,
10100,Indian Takayasu Clinical Activity Score (ITAS2010),Takayasu arteritis disease activity.,1,10100- takayasu clinical activity,"Face value was assessed through usage by several clinicians, including cardiologists and neurologists as well as rheumatologists. The content value of the ITAS2010 was analysed by both paper and live cases in serial group workshops where case presentations covering a spectrum of disease severity and duration were prepared to provide two time points for assessment. To examine convergent validity in the absence of a gold standard in TA, the ITAS2010 was compared with the BVAS, with the PGA scored on either an ordinate 3-point scale (active, grumbling/persistent disease or inactive) or a continuous scale from 0 to 10 and with the acute phase response (ESR or CRP). (Page 1796 - Derivation)

*follow-up involved",Y,Hybrid,hybrid,E,Y,Hybrid,,,
10127,Patient Activity Scale (PAS) for RA,"RA severity, more extensive than PAS II.",1,10127 - rheumatoid arthritis severity,"The Rheumatoid Arthritis Disease Activity Index (RADAI) and a composite variable made up from the PCS and MCS were potential activity indexes that were compared against the PAS and PAS-II. We also collected data for the Regional Pain Scale (RPS), a measure of pain extent, and VAS scales for pain, fatigue, sleep disturbance and global severity. To assess quality of life (QOL) by utilities, we administered the EuroQol, utilizing the newly developed US tariffs, the SF-6D24, and a VAS based QOL scale utilizing linear transformation. In our analyses, we used the QOL scales as a gold standard by which the PAS/PAS-II and other disease activity scales could be judged.  (Page 2411 - Materials and Methods)

*follow-up involved",Y,Indirect,database,E,Y,Indirect,,,
10128,Patient Activity Scale II (PAS II) for RA,"RA severity, less extensive than PAS.",1,10128 - rheumatoid arthritis severity,"The Rheumatoid Arthritis Disease Activity Index (RADAI) and a composite variable made up from the PCS and MCS were potential activity indexes that were compared against the PAS and PAS-II. We also collected data for the Regional Pain Scale (RPS), a measure of pain extent, and VAS scales for pain, fatigue, sleep disturbance and global severity. To assess quality of life (QOL) by utilities, we administered the EuroQol, utilizing the newly developed US tariffs, the SF-6D24, and a VAS based QOL scale utilizing linear transformation. In our analyses, we used the QOL scales as a gold standard by which the PAS/PAS-II and other disease activity scales could be judged.  (Page 2411 - Materials and Methods)

*follow-up involved",Y,Indirect,database,E,Y,Indirect,,,
10129,Mumtaz Score for Readmission in Cirrhosis,30-day readmission in cirrhosis.,1,10129 - early readmission in decompensated cirrhosis,"A readmission was defined as any nonelective admission for any principal diagnosis within 30 days of the index admission. Patients who died during the index admission were excluded from the denominator. (Page 632 - Outcomes Studied)

*follow-up involved",Y,Indirect,database,E,Y,Indirect,,,
10136,ABIC Score for Alcoholic Hepatitis,Alcohol hepatitis survival.,1,10136 - alcoholic hepatitis prognosis,"The mortality was evaluated at 90 days and 1 yr. (Page 2749 - Data Collection)

*follow-up involved",Y,Direct,in-person,E,Y,Direct,,,
10138,Age-Adjusted D-dimer for Venous Thromboembolism (VTE),Rules out VTE.,1,10138 - suspected venous thromboembolism,"Finally, the reference standards used to diagnose or exclude venous thromboembolism differed between the included studies. In all but one study differential verification was of concern; in these studies venous thromboembolism was excluded without confirmation by imaging in patients with a negative D-dimer test result and without recurrence of symptoms during follow-up. (Page 5 - Strengths and limitations of this review)",N,-,,meta analysis,N,-,,,meta analysis
10147,United Kingdom Model for End-Stage Liver Disease (UKELD),Mortality for liver transplant planning (UK).,1,10147 - mortality with liver transplant,"transplant list survival within 1 year postregistration (UKELD Score and Transplant List Survival - Page 473)

*follow-up involved",Y,Indirect,database,E,Y,Indirect,,,
10148,READMITS Score for Readmissions in Acute MI,30-day readmission risk after STEMI (not externally validated).,1,10148 - 30-day readmission risk after STEMI,"The primary outcome was all-cause 30-day hospital readmission, defined as a nonelective hospitalization within 30 days of discharge to any of 75 acute care hospitals within a 100-mile radius of Dallas, ascertained from an all-payer regional hospitalization database. (Outcomes - Page 2)

*follow-up involved",Y,Indirect,database,E,Y,Indirect,,,
10164,Brain Metastasis Velocity (BMV) Model,Distant brain failure after SRS for brain metastasis.,1,10164 - overall survival from whole-brain radiation therapy after distant brain failure,"Following initial SRS treatment, patients were followed up with magnetic resonance imaging (MRI) of the brain and clinical examination at 4 to 8 weeks after the procedure and thereafter every 3 months. The number of new metastases on every follow-up MRI scan was recorded to generate the BMV. A new metastasis was determined on follow-up MRI to be completely outside of the prior radiosurgical treatment volume as defined by the prescription isodose line. In brief, regardless of the status of extracranial disease, if patients died with progressive neurologic decline, they were determined to have had neurologic death. In addition, patients with severe neurologic dysfunction dying of intercurrent disease were considered to have had neurologic death. (Page 132-133 Patient follow-up and endpoint definitions)

*follow-up involved",Y,Indirect,database,E,Y,Indirect,,,
10167,Hour-Specific Risk for Neonatal Hyperbilirubinemia,Neonatal hyperbilirubinemia risk.,1,10167 - hyperbilirubinemia risk,"Subsequent TSB levels were usually obtained within 24 to 48 hours after discharge and as needed thereafter. This follow-up was offered to all parents and private pediatricians and was generally accessible by insurance coverage that allowed home nursing care. TSB samples were obtained in the hospital outpatient department or by the home care nurse and transported to the hospital laboratory for analysis. Additional follow-up either involved a repeat TSB sample or a visual inspection at physician’s discretion. Resolution of hyperbilirubinemia was confirmed at about age 10 days, usually through contact with the private pediatrician. (Page 7 - Follow-up)",Y,Indirect,database,data from database based on in-person follow-up,Y,Indirect,,,
10169,Columbia Suicide Severity Rating Scale (C-SSRS Screener),Suicidal ideation and behavior.,1,10169 - suicidal ideation,"Participants were 124 male and female patients 12–18 years of age with a suicide attempt or interrupted attempt during the 90 days before enrollment. Scale for Suicide Ideation (study 1) or the Suicidal Ideation Questionnaire–Junior (study 2) were entered as independent variables. (Predictive and incremental validity - Page 6) Most participants (N=96, 77.4%) were assessed at week 12; 87 (70.2%) were evaluated at 8, and 83 (66.9%) at week 24. (Page 4 - Studies Used in the Analyses)

*follow-up involved",Y,Direct,in-person,E,Y,Direct,,,Looks good
10170,Morphine Milligram Equivalents (MME) Calculator,Calculates MME.,1,10170 - long-term opioid therapy,"Episodes that lasted longer than 90 days that had 120 or more total days supply or 10 or more prescriptions filled were classified as long-term opioid use. (Page 4 - Type of Episode)

*follow-up involved",Y,Indirect,database,E,Y,Indirect,,,
10177,Recurrent Instability of the Patella (RIP) Score,Recurrent patellar instability risk prediction.,1,10177 - long-term recurrence risk of patella dislocation,"Clinical and surgical notes were reviewed to determine episodes of recurrent instability and patients undergoing patellar stabilization surgery such as lateral retinacular release, medial retinacular imbrication, and MPFL repair or reconstruction. Anteroposterior and lateral knee radiographs acquired at the time of injury were obtained and analyzed in addition to patellar views (Merchant or Sunrise). (Page 538 - Study Population and Design)

*follow-up involved",Y,Indirect,database,E,Y,Indirect,,,
10179,European System for Cardiac Operative Risk Evaluation (EuroSCORE) II,In-hospital mortality after major cardiac surgery.,1,10179 - in-hospital mortality after major cardiac surgery,"The primary outcome was mortality at the base hospital. Secondary outcomes were mortality at 30 and 90 days. (Methods - Page 734)

*follow-up involved (assumed but key term not explicitly said)",Y,Indirect,database,E,Y,Indirect,,,
10182,Psoriasis Area and Severity Index (PASI),Psoriasis severity.,1,10182 - psoriasis severity,"none

*no standard compared with PASI (uses area of psoriatic involvement and severity of lesions) but they note severity rating is subjective*

*follow-up involved",Y,Direct,in-person,E,Y,Direct,,,
10184,HINTS for Stroke in Acute Vestibular Syndrome,Stroke in AVS.,1,10184 - stroke,"The reference standard for a stroke diagnosis was confirmation of acute stroke by neuroimaging, generally MRI with DWI on the day of the index visit. The reference standard for a diagnosis of APV was absence of acute stroke in the brainstem or cerebellum by MRI with DWI, lack of neurologic signs on serial exam, and a characteristic clinical course. (Page 4 - Materials and Methods)

*follow-up involved",Y,Indirect,database,E,Y,Indirect,,,
10188,Ottawa COPD Risk Scale,Death or serious adverse events in COPD (ED setting).,1,10188 - serious adverse events,"Defined as death, intubation, admission to a monitored unit or new visit to the emergency department requiring admission. (Page E193 - abstract)

*follow-up involved",Y,Indirect,database,E,Y,Indirect,,,
10193,Gupta Postoperative Respiratory Failure Risk,Risk of vent >48 hrs postop or reintubated ≤30 days.,1,10193 - postoperative respiratory failure,"The primary end point was PRF through 30 days following surgery. PRF was said to have occurred if patients: 

(1) had an unplanned intubation during their surgery or postoperatively, 

(2) were reintubated postoperatively once extubated, or 

(3) required mechanical ventilation for 48 h postoperatively. (Page 1208 - Outcome)

*follow-up involved (assumed but key term not explicit)",Y,Indirect,database,E,Y,Indirect,,,
10198,PSA Doubling Time (PSADT) Calculator,PSA survival.,1,10198 - disease progression with prostate-specific antigen level,"After surgery, men were followed up with PSA assays and digital rectal examinations every 3 months for the first year, semiannually for the second year, and annually thereafter. A detectable serum PSA level of at least 0.2 ng/mL was evidence of biochemical recurrence. Distant metastases were diagnosed by radionuclide bone scan, chest radiograph, or other body imaging, which was performed at the time of biochemical recurrence and annually thereafter. (Page 1591 - Main Outcome Measures)

*follow-up involved",Y,Indirect,database,E,Y,Indirect,,,
10200,PLASMIC Score for TTP,TTP probability.,1,10200 - thrombotic thrombocytopenic purpura,"ADAMTS13 assay (Page e158 - Methods)

*follow-up involved",Y,Indirect,database,"Data obtained retrospectively from patients in the Harvard TMA Research Collaborative registry who presented between Jan 8, 2004, and May 1, 2012, formed the derivation cohort.",Y,Indirect,,,
10202,Nutritional Risk Index (NRI),Quantifies malnutrition.,1,10202 - malnutrition,"Patient was considered malnourished and therefore eligible for study if he was abnormal for at least two out of a set of three nutritional measures. Seven nutritional measures that either meet or potentially meet the three methodologic criteria (criteria 2, 3, and 4) listed above were identified: body weight, percent usual body weight, percent ideal body weight, triceps skinfold, midarm muscle circumference, and serum levels of albumin and prealbumin. (Page 363-364 Development of nutritional eligibility criteria)

*follow-up involved",Y,Indirect,database,E,Y,Indirect,,,Looks good
10204,PECARN Rule for Low Risk Febrile Infants 29-60 Days Old,Serious bacterial infection risk in febrile infants 29-60 days old.,1,10204 - serious bacterial infection risk,"Serious bacterial infection, defined as urinary tract infection, bacteremia, or bacterial meningitis. (Page 342 - Main Outcomes and Measures)

*follow-up involved",Y,Hybrid,telephone/database,E,Y,Hybrid,,,
10210,PREVAIL Model for Prostate Cancer Survival,Overall survival in metastatic prostate cancer.,1,10210 - survival in metastatic prostate cancer,"The primary end point used for the model was overall survival (OS), using an updated analysis after 784 deaths (46%, data cutoff 1 June 2014) (Page 2201 - Data sets)

*follow-up involved (assumed but key term not listed)",Y,Indirect,database,E,Y,Indirect,,,
10218,ATLAS Score for Clostridium Difficile Infection,C. diff therapy response.,1,10218 - C. diff infection therapy response,"Patients considered as a “cure” were then followed for an additional 28 days to evaluate them for a CDI recurrence. (Page 2 - Methods)

*follow-up involved",Y,Indirect,database,E,Y,Indirect,,,
10225,INTERCHEST Clinical Prediction Rule for Chest Pain in Primary Care,Rules out CAD (primary care).,1,10225 - coronary artery disease,"To establish the final diagnosis, study patients were followed up for a defined period, and study physicians used the clinical course and results of tests to establish the cause of the index episode of chest pain. This delayed-type reference standard can be an acceptable and valid alternative when a single reference test is not possible. (Page 4 - Data Sources and Study Selection) 

We did not do an internal validation study of the clinical diagnosis of CAD using an objective diagnostic reference standard on a randomly selected subset of patients from the pooled study populations. Such a study would be subject to concerns that the results of applying an objective diagnostic reference standard to patients referred for it would not be the same as the source population (test-referral bias). (Page 12 - Discussion)

*follow-up involved",N,-,,meta-analysis,N,-,,,meta-analysis
10226,Urticaria Activity Score (UAS),Urticaria severity.,1,10226 - disease activity of chronic urticaria,"The primary aim of the analysis was to assess several CU symptom scores using the established QoL instrument DLQI (dermatology life quality index) as a reference for cross-sectional analysis and responsiveness after 3 weeks (end of week 4 vs end of week 1). (Page 778 - Data management and statistical analyses)

*follow-up involved (assumed but key term not listed)",Y,Direct,in-person,E,Y,Direct,,,
10227,ORBIT Bleeding Risk Score for Atrial Fibrillation,Anticoagulation bleeding risk in afib.,1,10227 - bleeding risk in atrial fibrillation,Time to major bleeding over 2 years of follow-up as the outcome (Methods - Page 3259),Y,Indirect,database,E,Y,Indirect,,,
10235,Truelove and Witts Severity Index for Ulcerative Colitis,Ulcerative colitis severity.,1,10235 - ulcerative colitis severity,"The severity of the illness at the beginning of treatment was assessed on the following criteria: 

Severe.- Severe diarrhoea (six or more motions a day) with macroscopic blood in stools. Fever (mean evening temperature more than 99.50 F. (37.50 C.), or a temperature of 1000 F. (37.80 C.), or more on at least two days out of four). Tachycardia (mean pulse rate more than 90 per minute). Anaemia (haemoglobin 75% or less-allowance made for recent transfusion). E.S.R. much raised (more than 30 mm. in one hour). 

Mild.- Mild diarrhoea (four or less motions a day) with no more than small amounts of macroscopic blood in stools. No fever. No tachycardia. Anaemia not severe. E.S.R. not raised above 30 mm. in one hour. 

Moderately Severe.-Intermediate between severe and mild.

*follow-up involved",Y,Direct,in-person,E,Y,Direct,,,
10237,Montreal Classification for Inflammatory Bowel Disease (IBD),Crohn's and ulcerative colitis severity.,1,10237 - crohn's disease,"Age at Diagnosis was defined by the age when the diagnosis of CD was first definitively established by radiology, endoscopy, pathology, or surgery. Location was defined as the maximum extent of disease involvement at any time before the first resection. Minimum involvement for a location was the presence of any aphthous lesion or ulceration. (Page 10 - Operational Guidelines)

*follow-up involved",Y,Indirect,database,E,Y,Indirect,,,
10240,CLIF-C ACLF (Acute-on-Chronic Liver Failure),Mortality in liver failure.,1,10240 - mortality with acute-on-chronic liver failure,"The main study outcomes included all-cause mortality at 28, 90, 180, and 365 days after enrolment. (Page 1039 - Study Outcomes)

*follow-up involved",Y,Indirect,database,E,Y,Indirect,,,
10343,Altitude-Adjusted PERC Rule,Rules out PE (altitude-adjusted),1,10343 - pulmonary embolism,"End point variables included diagnosis of a PE after initial ED evaluation, diagnosis of any VTE during 3-month follow-up, or death due to VTE. The diagnosis of PE was made when any of the following criteria were met: 

(1) high probability V/Q scan using modified Prospective Investigation of Pulmonary Embolism Diagnosis (PIOPED) criteria; 

(2) contrast-enhanced CT scan of the chest diagnostic of PE; 

(3) intermediate probability V/ Q scan with a high pretest clinical suspicion as determined by the treating provider; 

(4) pulmonary angiogram diagnostic of PE; 

(5) 3-month telephone interview follow-up in which the patient reported having been diagnosed with any VTE; or 

(6) medical record review documenting diagnosis of VTE within the 3-month follow-up period. (Page 182-183 - Outcomes)",Y,Direct,telephone,E,Y,Direct,,,
10345,Salivary Gland Cancer Model for Survival +/- Postoperative Radiotherapy (PORT),Salivary gland cancer PORT survival.,1,10345 - overall survival with and without PORT for resected major SG cancers,"The primary endpoint was OS, which was calculated from the date of diagnosis until the date of last contact or death. (Statistical methods - Page 3)

*follow-up involved",Y,Indirect,database,E,Y,Indirect,,,
10346,Veterans Health Administration COVID-19 (VACO) Index for COVID-19 Mortality,Estimates 30d COVID-19 mortality.,1,10346 - 30-day mortality index for COVID-19,"30-day COVID-19 mortality. Date of last follow-up was August 18, 2020 to allow 30 days of follow-up after testing for all patients. (Page 3 - Introduction)",Y,Indirect,database,E,Y,Indirect,,,
10347,RCVS<sub>2</sub> Score for Reversible Cerebral Vasoconstriction Syndrome,Reversible cerebral vasoconstriction syndrome diagnosis.,1,10347 - reversible cerebral vasoconstriction syndrome,"Final diagnosis was established based on pathology, infectious disease panels, or other laboratory tests. (Clinical and imaging data - e640)

*follow-up involved",Y,Indirect,database,E,Y,Indirect,,,
10348,For Patients: VACO Index COVID-19 Mortality Risk,Chance of dying from COVID-19.,1,10348 - 30-day mortality index,"Deaths were determined using inpatient records and the VA death registry to capture deaths occurring outside hospitalization. (VACO Index development: Candidate predictors - Page 3)

*follow-up involved",Y,Indirect,database,E,Y,Indirect,,,
10349,IMPROVE Risk Score for Venous Thromboembolism (VTE),3-month inpatient VTE risk.,1,10349 - VTE,"VTE was defined as DVT or PE that was observed clinically within 92 days of admission. (Page 707 - Materials and Methods)

*follow-up involved",Y,Indirect,database,E,Y,Indirect,,,
10350,IMPROVEDD Risk Score for Venous Thromboembolism (VTE),Inpatient VTE risk.,1,"risk of symptomatic deep vein thrombosis, nonfatal pulmonary embolism, or VTE-related death","risk of symptomatic deep vein thrombosis, nonfatal pulmonary embolism, or VTE-related death

All VTE events were adjudicated by an independent clinical events committee blinded to thromboprophylaxis allocation based on the documentation from the case report form, the narratives prepared by the study sites, and any other available supporting source documentation. (Page e57 - Methods)

*follow-up involved",Y,Indirect,database,E,Y,Indirect,,,"Outcome is risk of symptomatic deep vein thrombosis, nonfatal pulmonary embolism, or VTE-related death. Includes your notes."
10354,COVID Home Safely Now (CHOSEN) Risk Score for COVID-19,COVID-19 discharge suitability.,1,"hypoxia, ICU admission, and death","14-day composite that predicted the need for supplemental oxygen, need for the intensive care unit (ICU) level of care, and death. We opted for a 14-day follow-up period from time of presentation for patients who did not experience this composite endpoint.",Y,Indirect,database,E,Y,Indirect,,,
10369,PRIEST COVID-19 Clinical Severity Score,Suspected COVID-19 prognosis.,1,COVID-19 clinical severity,"Death or organ support (respiratory, cardiovascular, or renal) by record review at 30 days. (Page 1 - Methods)

*follow-up involved",Y,Indirect,database,E,Y,Indirect,,,
10370,4-Level Pulmonary Embolism Clinical Probability Score (4PEPS),Rules out PE.,1,pulmonary embolism,The rate of PE diagnosed during the initial workup or during follow-up and the rate of imaging testing. (Main Outcomes and Measures -Page 669),Y,Indirect,database,E,Y,Indirect,,,
10371,COVID-19 Inpatient Risk Calculator (CIRC),Inpatient COVID mortality or severe disease progression.,1,death and a composite of severe disease or death.,"Primary outcomes were defined by using the World Health Organization (WHO) COVID-19 disease severity scale. The WHO scale is an 8-point ordinal scale ranging from ambulatory (1 = asymptomatic, 2 = mild limitation in activity) to hospitalized with mild to moderate disease (3 = room air, 4 = nasal cannula or facemask oxygen), hospitalized with severe disease (5 = high-flow nasal cannula or noninvasive positive pressure ventilation, 6 = intubation and mechanical ventilation, 7 = intubation and mechanical ventilation and other signs of organ failure [hemodialysis, vaso- pressors, extracorporeal membrane oxygenation]), and death (score of 8). We defined severe disease as a score of 5 to less than 8 and the composite outcome of severe disease or death as a score of 5 to 8 on the WHO scale. (Page 2 - Outcomes Measuresa and Definitions)

*follow-up involved",Y,Indirect,database,E,Y,Indirect,,,
10421,Canadian Transient Ischemic Attack (TIA) Score,Stroke prediction.,1,stroke,"The primary outcome was stroke within 7 days of emergency depart-ment diagnosis of TIA, termed impending stroke. Stroke was defined as a rapidly developing clinical symptom(s) of focal (or occasionally global) disturbance of cerebral function lasting >24 hours or until death with no apparent nonvascular cause. (Page 93 - Outcome Measures) 

The primary outcome was assessed for all patients from a composite of sources including site hospital records for stroke occurrence, admission or mortality, autopsy report at site hospital, or patients answering yes to ≥1 of the telephone follow-up questions. (Page 93 - Outcome Assessment)",Y,Hybrid,telephone/database,E,Y,Hybrid,,,
10461,Therapy-Disability-Neurology (TDN) Grade,Neurosurgery adverse events classification.,1,neurosurgery adverse events,"Death of any reason occurring within 30 days following surgery was considered an AE. Follow-up at institution 1 refers to the last consultation between six weeks and three months after surgery, including AE that may have occurred until then. At institution 2, data at follow-up was registered only for craniotomies, and AE were recorded within 30 days 68 of discharge. (Page 59 - Measures)",Y,Indirect,database,E,Y,Indirect,,,
