medium_description_en,url,full_title_en,expert_name,short_title_en,short_description_en,disease_en,system_en,search_abbreviation_en,purpose_en,chief_complaint_en,specialty_en,favorite_id,creators,cmeEnabled,cmeVersion
Provides Light's Criteria to help determine if pleural fluid is exudative.,lights-criteria-exudative-effusions,Light's Criteria for Exudative Effusions,"Sagar Patel, MD",Light's Criteria,Pleural Effusion: Exudative vs Transudative.,"['CHF', 'Cancer', 'Chemotherapy', 'Cirrhosis', 'Pleural Effusion', 'Pneumonia', 'Pulmonary Embolism', 'COVID-19', 'Coronavirus']","['Cardiac', 'Respiratory']","['pleural', 'lights', 'transudative', 'coronavirus', 'covid 19', 'covid', 'covid-19', 'covid19']",Diagnosis,"['Cough', 'Shortness of Breath']","['Cardiology', 'Critical Care', 'Emergency Medicine', 'Family Practice', 'Hematology and Oncology', 'Hospitalist Medicine', 'Infectious Disease', 'Internal Medicine', 'Primary Care', 'Pulmonology']",797,Dr. Richard W. Light,True,
Predicts mortality in patients with Alcoholic Hepatitis not responding to steroid therapy.,lille-model-alcoholic-hepatitis,Lille Model for Alcoholic Hepatitis,[],Lille Model,Mortality in Alcoholic Hepatitis that's unresponsive to steroids.,"['Alcoholism', 'Cirrhosis', 'Hepatitis']",Gastrointestinal,"['Lille', 'Alcoholic', 'Hepatitis']","['Prognosis', 'Treatment']","['Abdominal Pain', 'Intoxication/Overdose']","['Critical Care', 'Gastroenterology', 'Hepatology', 'Hospitalist Medicine', 'Internal Medicine', 'Toxicology']",2024,Dr. Philippe Mathurin,False,
"<span id=""docs-internal-guid-71c59796-899e-b7d6-fe35-932124eb5f77"">Predicts risk of liver decompensation after hepatectomy for hepatocellular carcinoma (HCC). ",liver-decompensation-risk-hepatectomy-hepatocellular-carcinoma-hcc,Liver Decompensation Risk after Hepatectomy for Hepatocellular Carcinoma (HCC),[],Liver Decompensation Risk,Post-hepatectomy decompensation.,"['Hepatocellular Carcinoma', 'Cirrhosis']","['Oncologic', 'Gastrointestinal', 'Hepatic']","['Liver decompensation', 'hepatocellular carcinoma', 'hepatectomy', 'risk', 'liver risk', 'HCC']","['Prognosis', 'Algorithm']",Jaundice,"['Hepatology', 'Hematology and Oncology', 'Surgery (General)', 'Gastroenterology']",10052,Dr. Vincenzo Mazzaferro,False,
Doses local anesthetics to help avoid toxic doses.,local-anesthetic-dosing-calculator,Local Anesthetic Dosing Calculator,"Paul Hausknecht, MD",Local Anesthetic Dosing,Local anesthetic toxicity prevention.,Acute Pain,"['Cardiac', 'Neurologic']","['Local anesthesia', 'marcaine', 'lido', 'lidocaine', 'mepivacaine', 'prilocaine', 'bupivacaine', 'etidocaine', 'ropivacaine', 'levobupivacaine', 'cocaine', 'procaine', 'tetracaine', 'chloroprocaine', 'benzocaine', 'LAST', 'local anesthetic systemic toxicity', 'nerve block', 'nerve block anesthesia dose', 'regional anesthesia', 'regional anesthesia dose']",Treatment,Pain,"['Anesthesiology', 'Critical Care', 'Emergency Medicine', 'Pain Management', 'Surgery (General)', 'Toxicology']",10205,[],True,
"Stratifies severity of esophagitis based on endoscopic findings, recommended by <a href=""https://www.mdcalc.com/guidelines/acg/diagnosis-management-gastroesophageal-reflux-disease"" target=""_blank"">ACG guidelines</a>.",los-angeles-la-grading-esophagitis,Los Angeles (LA) Grading of Esophagitis,[],LA Grading of Esophagitis,Esophagitis severity.,"['GERD', 'Gastroesophageal Reflux Disease']",Gastrointestinal,"['gastroesophageal reflux disease', 'acid reflux', 'GERD', 'Los Angeles Classification of esophagitis', 'upper gastrointestinal endoscopy', 'GI endoscopy', 'esophagitis grading', 'esophageal mucosa grading', 'LA classification', 'standard endoscopy', 'reflux esophagitis', 'RO', 'high-grade esophagitis', 'low-grade esophagitis', 'erosive reflux disease', 'reflux oesophagitis', 'oesophagitis severity', 'la grading']",Prognosis,"['Chest Pain', 'Vomiting']",Gastroenterology,4061,"['Dr. David Armstrong', 'Dr. Lars R. Lundell']",False,
Stratifies stroke severity in the field.,los-angeles-motor-scale-lams,Los Angeles Motor Scale (LAMS),"Katie Lin, MD",LAMS,Stroke severity in the field.,Stroke/TIA,"['Cardiac', 'Neurologic']","['stroke', 'CVA', 'cerebrovascular accident', 'TIA', 'transient ischemic attack', 'EMS', 'EMT', 'emergency medical services', 'emergency medical technician', 'EMTs', 'ambulance', 'rule out', 'ischemic stroke', 'hemorrhagic stroke', 'LA stoke scale', 'lams']","['Diagnosis', 'Rule Out']","['AMS', 'Dizziness', 'Seizure', 'Vomiting']","['Emergency Medicine', 'Neurology']",3959,Dr. Jeffrey Saver,True,3959.1
Screens for necrotizing soft tissue infections.,lrinec-score-necrotizing-soft-tissue-infection,LRINEC Score for Necrotizing Soft Tissue Infection,"Calvin Hwang, MD",LRINEC Score,Early diagnosis of nec fasc.,"['Acute Pain', 'Cellulitis/Abscess']","['Infectious', 'Musculoskeletal']","['necfasc', 'fasciitis', 'nec fasc', 'necrotizing', 'gas']",Diagnosis,"['Extremity Pain', 'Fever']","['Critical Care', 'Emergency Medicine', 'Hospitalist Medicine', 'Infectious Disease', 'Internal Medicine', 'Orthopedics', 'Podiatry', 'Surgery (General)']",1734,Dr. Wong Chin Ho,True,
Suggests which patients with alcoholic hepatitis may have a poor prognosis and benefit from steroid administration.,maddreys-discriminant-function-alcoholic-hepatitis,Maddrey's Discriminant Function for Alcoholic Hepatitis,[],Maddrey's Discriminant Function,Alcoholic Hepatitis prognosis & steroid treatment.,"['Alcoholism', 'Cirrhosis', 'Drug/Alcohol Use', 'Hepatitis']","['Cardiac', 'Gastrointestinal', 'Hematologic']","['liver', 'etoh', 'maddreys', 'madrey']","['Prognosis', 'Treatment']","['Abdominal Pain', 'Intoxication/Overdose']","['Critical Care', 'Emergency Medicine', 'Gastroenterology', 'Hepatology', 'Hospitalist Medicine', 'Internal Medicine', 'Toxicology']",56,Dr. Willis Maddrey,False,
Estimates 1- and 3- year mortality in heart failure.,maggic-risk-calculator-heart-failure,MAGGIC Risk Calculator for Heart Failure,[],MAGGIC Risk Calculator for HF,Estimates 1- and 3- year heart failure mortality.,"['Congestive Heart Failure', 'Heart Failure']",Cardiac,"['Hf', 'heart failure', 'magic', 'mortality', 'survival', 'EF', 'ejection', 'fraction', 'ejection fraction', 'CHF', 'congestive heart failure']",Prognosis,"['Chest Pain', 'Dyspnea', 'Extremity Edema', 'Shortness of Breath', 'Weight Loss/Gain']",Cardiology,3803,Dr. Stuart Pocock,False,
Calculates maintenance fluid requirements by weight.,maintenance-fluids-calculations,Maintenance Fluids Calculations,[],Maintenance Fluids,Fluid maintenance.,"['Bleeding/Hemorrhage', 'Burns', 'Dehydration', 'GI Bleeding', 'Hyperglycemia', 'Pancreatitis', 'Renal Failure']","['Endocrine and Metabolic', 'Renal']","['ivf', 'pediatric', 'dehydration', 'peds', '421', '4-2-1']","['Formula', 'Treatment']","['Diarrhea', 'Intoxication/Overdose', 'Vomiting', 'Weakness']","['Cardiology', 'Critical Care', 'Emergency Medicine', 'Endocrinology', 'Hospitalist Medicine', 'Internal Medicine', 'Nephrology', 'Pediatrics']",72,Dr. Malcolm Holliday,False,
Screens for depression based on clinically significant questions.,major-depression-index-mdi,Major Depression Index (MDI),[],Major Depression Index,Screens for depression.,Depression/Suicidality,Psychiatric,"['depression', 'MDI', 'psych', 'diagnosis', 'suicidality']",Diagnosis,"['AMS', 'Depressed']","['Family Practice', 'Internal Medicine', 'Primary Care', 'Psychiatry']",1844,Dr. Per Bech,False,
Identifies patients who are malnourished or at risk of malnutrition.,malnutrition-universal-screening-tool-must,Malnutrition Universal Screening Tool (MUST),"Lorcan Martyn, MB BCh BAO",Malnutrition Universal Screening Tool (MUST),Malnutrition risk.,Malnutrition,Endocrine and Metabolic,"['MUST', 'malnutrition universal screen tool', 'undernutrition']",Diagnosis,"['Preventive Care/Screening', 'Weight Loss/Gain']","['Critical Care', 'Emergency Medicine', 'Family Practice', 'Geriatrics', 'Hospitalist Medicine', 'Internal Medicine', 'Primary Care', 'Surgery (General)']",10190,Dr. Marinos Elia,True,10190.1
Predicts 2 year survival of small cell lung cancer.,manchester-score-prognosis-small-cell-lung-cancer,Manchester Score for Prognosis in Small Cell Lung Cancer,[],Manchester Score for Lung Cancer,2 year survival of small cell lung CA.,"['Cancer', 'Chemotherapy', 'Lung Cancer']",Oncologic,"['ca', 'small cell lung cancer', 'survival', 'prognosis']","['Prognosis', 'Treatment']","['Shortness of Breath', 'Weight Loss/Gain']","['Hematology and Oncology', 'Palliative Care/Hospice', 'Pulmonology']",2142,Dr. Thomas Cerny,False,
"Estimates viability of an extremity after trauma, to determine need for salvage vs empiric amputation.",mangled-extremity-severity-score-mess-score,Mangled Extremity Severity Score (MESS Score),"Calvin Hwang, MD",Mangled Extremity Severity Score (MESS),Estimates extremity viability.,Trauma,Musculoskeletal,"['trauma', 'amputation', 'injury']","['Prognosis', 'Treatment']","['Extremity Pain', 'Injury/Trauma']","['Critical Care', 'Emergency Medicine', 'Orthopedics', 'Surgery (General)', 'Surgery (Trauma)']",549,Dr. Kaj Johansen,True,
Determines likelihood of irritable bowel syndrome diagnosis based on clinically significant criteria.,manning-criteria-diagnosis-irritable-bowel-syndrome-ibs,Manning Criteria for Diagnosis of Irritable Bowel Syndrome (IBS),[],Manning Criteria,IBS diagnostic criteria.,"['Irritable Bowel Syndrome', 'Anxiety']",Gastrointestinal,"['dx', 'ibs', 'red', 'flag', 'ibs', 'diarrhea']",Diagnosis,"['Abdominal Pain', 'Constipation', 'Diarrhea', 'Anxious']","['Family Practice', 'Gastroenterology', 'Internal Medicine', 'Primary Care']",3167,Dr. A. P. Manning,False,
Predicts survival in patients with mantle cell lymphoma.,mantle-cell-lymphoma-international-prognostic-index-mipi,Mantle Cell Lymphoma International Prognostic Index (MIPI),"Justin Taylor, MD",MIPI,Mantle cell lymphoma survival.,"['Cancer', 'Hematologic Malignancy', 'Leukemia/Lymphoma']","['Hematologic', 'Oncologic']","['MCL', 'mantle cell lymphoma', 'lymphoma', 'mantle cell lymphoma international prognostic index', 'international prognostic index', 'MIPI', 'IPI', 'mantel cell']",Prognosis,"['Abdominal Pain', 'Fatigue', 'Fever', 'Lymphadenopathy', 'Vomiting']",Hematology and Oncology,4053,Dr. Eva Hoster,True,
Rules out coronary artery disease in primary care patients with chest pain.,marburg-heart-score-mhs,Marburg Heart Score (MHS),"William Cayley Jr, MD, MDiv",Marburg Heart Score (MHS),Rules out CAD (primary care).,Acute Coronary Syndrome,Cardiac,Marburg score,"['Diagnosis', 'Rule Out']",Chest Pain,"['Cardiology', 'Family Practice', 'Internal Medicine', 'Primary Care']",4022,Dr. Stefan Bösner,True,4022.1
Identifies patients at low risk for poor outcome with febrile neutropenia.,mascc-risk-index-febrile-neutropenia,MASCC Risk Index for Febrile Neutropenia,"Justin Taylor, MD",MASCC Risk Index,Low risk for poor outcome febrile neutropenia.,"['Cancer', 'CML', 'HIV/AIDS', 'Sepsis']","['Immunologic', 'Infectious', 'Oncologic']","['FN', 'sepsis', 'neutrophil', 'oncology', 'cancer', 'CA', 'outpatient', 'inpatient', 'solid tumor', 'fever']","['Diagnosis', 'Prognosis']",Fever,"['Critical Care', 'Emergency Medicine', 'Family Practice', 'Hematology and Oncology', 'Infectious Disease', 'Internal Medicine']",3913,Dr. Jean Klastersky,True,
"Calculates amount of RhIG to be administered to the mother, at the time of delivery, to prevent hemolytic disease of the fetus and newborn (HDFN).",maternal-fetal-hemorrhage-rhd-immune-globulin-dosage,Maternal-Fetal Hemorrhage Rh(D) Immune Globulin Dosage,"['Caleb Cheng, MD', 'Ronald George Hauser, MD', 'Alex Ryder, MD, PhD']",RhIG (RhoGAM) Dosing,RhIG for HDFN.,"['Anemia', 'Bleeding/Hemorrhage']","['Hematologic', 'Reproductive']","['rhogam', 'rh factor', 'maternal fetal hemorrhage', 'hdfn']","['Formula', 'Treatment']","['Bleeding', 'Pregnancy']","['OB-Gyn', 'Pathology', 'Hematology and Oncology', 'Transfusion Medicine']",10010,[],True,
Estimates the maximum allowable blood loss intraoperatively before transfusion should be considered.,maximum-allowable-blood-loss-abl-without-transfusion,Maximum Allowable Blood Loss (ABL) Without Transfusion,"Amit Patel, MD",Maximum ABL,Estimates maximum blood loss allowable intra-op before transfusion.,"['Anemia', 'Trauma']","['Cardiac', 'Hematologic', 'Respiratory']","['abl', 'hb', 'hgb', 'hemoglobin']",Formula,"['Bleeding', 'Injury/Trauma']","['Anesthesiology', 'Critical Care', 'Surgery (General)']",3905,Dr. Jeffrey B. Gross,True,3905.1
Assesses severity of ulcerative colitis.,mayo-score-disease-activity-index-dai-ulcerative-colitis,Mayo Score / Disease Activity Index (DAI) for Ulcerative Colitis,"John Vizuete, MD, MPH",Mayo DAI for Ulcerative Colitis,Assesses severity of ulcerative colitis.,"['Colitis', 'Inflammatory Bowel Disease', 'GI Bleeding', 'Gastroenteritis', 'Autoimmune Disorders']",Gastrointestinal,"['mayo', 'DAI', 'ulcerative colitis', 'colitis', 'rectal bleed', 'melena', 'blood in stool', 'endoscopy', 'uc']",Prognosis,"['Abdominal Pain', 'Bleeding', 'Diarrhea', 'Blood in Stool']","['Gastroenterology', 'Internal Medicine', 'Surgery (General)']",3675,Dr. Kenneth W. Schroeder,True,3675.1
"<span id=""docs-internal-guid-b21a6433-7fff-ffea-899a-8e2ef396b96f"">Diagnoses multiple sclerosis.",mcdonald-criteria-multiple-sclerosis-2017-revision,McDonald Criteria for Multiple Sclerosis (2017 Revision),[],McDonald Criteria (2017 Revision),MS diagnosis.,Multiple Sclerosis,Neurologic,"['MS', 'Mcdonald', 'MRI', 'dissemination', 'time', 'space', 'multiple sclerosis', 'Mcdonald criteria', '2017']",Diagnosis,Weakness,"['Neurology', 'Radiology']",10162,Dr. Alan J. Thompson,False,
Predicts mortality or acute kidney injury (AKI) in rhabdomyolysis patients.,mcmahon-score-rhabdomyolysis,McMahon Score for Rhabdomyolysis,"Elie Harmouche, MD",McMahon Score,Rhabdo mortality.,Renal Failure,Renal,"['rhabdomylosis risk calculator', 'rabdo', 'Rhabdo']",Prognosis,"['AMS', 'Abdominal Pain', 'Fever', 'Vomiting']","['Emergency Medicine', 'Nephrology']",4017,Dr. Gearoid M. McMahon,True,4017.1
Estimates glomerular filtration rate based on creatinine and patient characteristics.,mdrd-gfr-equation,MDRD GFR Equation,"Evan Zeitler, MD",MDRD GFR Equation,For CKD patients (not for AKI).,"['Diabetes Mellitus', 'Renal Failure']","['Endocrine and Metabolic', 'Renal']","['cr', 'crcl', 'renal', 'arf', 'aki', 'creatinine', 'ckd', 'crf', 'egfr', 'estimated gfr']",Formula,"['AMS', 'Dyspnea', 'Extremity Edema', 'Headache']","['Critical Care', 'Endocrinology', 'Family Practice', 'Geriatrics', 'Hospitalist Medicine', 'Internal Medicine', 'Nephrology', 'Pharmacy', 'Primary Care', 'Radiology']",76,Dr. Andrew S. Levey,True,
Calculates mean arterial pressure.,mean-arterial-pressure-map,Mean Arterial Pressure (MAP),"Kamal Medlej, MD",Mean Arterial Pressure (MAP),Calculates MAP.,"['Bleeding/Hemorrhage', 'Hypertension', 'Intracranial Hemorrhage', 'Sepsis', 'Subarachnoid Hemorrhage', 'Trauma']",Cardiac,"['bp', 'hypertension', 'blood pressure']","['Formula', 'Treatment']","['Bleeding', 'Dizziness']","['Anesthesiology', 'Cardiology', 'Critical Care', 'Critical Care (Neonatal)', 'Critical Care (Neurologic)', 'Critical Care (Pediatric)', 'Emergency Medicine', 'Hospitalist Medicine', 'Internal Medicine', 'Surgery (Trauma)']",74,Dr. Sheldon Magder,True,74.1
"Predicts risk of contrast-induced nephropathy (CIN) after percutaneous coronary intervention (PCI).<br /><span id=""docs-internal-guid-767a1d30-7fff-4d48-18b5-97f127910188"">",mehran-score-post-pci-contrast-nephropathy,Mehran Score for Post-PCI Contrast Nephropathy,[],Mehran Score (Post-PCI Nephropathy),Renal failure after cath.,"['Acute Kidney Injury', 'Chronic Kidney Disease', 'Kidney Failure']","['Renal', 'Cardiac']","['Percutaneous coronary intervention', 'CIN', 'PCI']",Prognosis,"['Vomiting', 'Fatigue']","['Nephrology', 'Cardiology', 'Radiology', 'Internal Medicine', 'Hospitalist Medicine']",10087,Dr. Roxana Mehran,False,
"Predicts metastatic renal cell carcinoma survival, more accurately than the Motzer Score.",mekhail-extension-motzer-score,Mekhail Extension of the Motzer Score,[],Mekhail Extension,Metastatic RCC survival.,"['Cancer', 'Chemotherapy', 'Renal Cell Carcinoma', 'Renal Failure']","['Oncologic', 'Renal', 'Urinary']","['mekhail', 'ccf', 'cleveland clinic foundation criteria', 'RCC', 'cleveland', 'motzer', 'face', 'mikhail', 'cleveland clinic', 'CCF']",Prognosis,"['Flank Pain', 'Hematuria', 'Mass']","['Hematology and Oncology', 'Hospitalist Medicine', 'Internal Medicine', 'Nephrology', 'Urology']",3007,Dr. Tarek Mekhail,False,
"Stratifies severity of end-stage liver disease, for transplant planning.",meld-score-model-end-stage-liver-disease-12-older,MELD Score (Model For End-Stage Liver Disease) (12 and older),"Pranav Patel, MD",MELD Score (New),Severity of ESLD.,"['Cirrhosis', 'Hepatitis']",Gastrointestinal,"['cirrhosis', 'esrd', 'hepatitis', 'liver failure', 'esld', 'jaundice', 'transplant', 'OLT']","['Prognosis', 'Treatment']",Abdominal Pain,"['Critical Care', 'Gastroenterology', 'Hepatology', 'Hospitalist Medicine', 'Internal Medicine', 'Nephrology', 'Surgery (General)']",78,Dr. Patrick S. Kamath,True,
Calculates the MELD score to quantify end-stage liver disease for transplant planning.,meld-score-original-pre-2016-model-end-stage-liver-disease,"MELD Score (Original, Pre-2016, Model for End-Stage Liver Disease)",[],MELD Score (Original),"Transplant planning in liver disease, without sodium.","['Cirrhosis', 'Hepatitis']",Gastrointestinal,"['meld', 'cirrhosis', 'esrd', 'hepatitis']","['Prognosis', 'Treatment']",Abdominal Pain,"['Critical Care', 'Gastroenterology', 'Hepatology', 'Hospitalist Medicine', 'Internal Medicine', 'Nephrology', 'Surgery (General)']",2693,Dr. Patrick S. Kamath,False,
Adds sodium to the MELD model for liver cirrhosis.,meldna-meld-na-score-liver-cirrhosis,MELDNa/MELD-Na Score for Liver Cirrhosis,[],MELD-Na Score,MELD + Na: More accurate than MELD.,Cirrhosis,Gastrointestinal,cirrhosis,"['Formula', 'Prognosis']",Abdominal Pain,"['Critical Care', 'Gastroenterology', 'Hepatology', 'Hospitalist Medicine', 'Internal Medicine', 'Surgery (General)']",1754,Dr. W. Ray Kim,False,
Predicts survival based on clinical and laboratory data in metastatic RCC patients.,memorial-sloan-kettering-cancer-center-mskcc-motzer-score-metastatic-renal-cell-carcinoma-rcc,Memorial Sloan-Kettering Cancer Center (MSKCC/Motzer) Score for Metastatic Renal Cell Carcinoma (RCC),"Ziad Bakouny, MD, MSc",MSKCC/Motzer Criteria for RCC,Predicts survival in RCC patients.,"['Renal Cell Carcinoma', 'Chemotherapy']","['Oncologic', 'Renal', 'Urinary']","['RCC', 'MSKCC', 'Sloan-Kettering', 'Sloan Kettering', 'Motzer', 'renal cancer', 'kidney cancer', 'karnofsky', 'nephrectomy', 'survival']",Prognosis,Hematuria,"['Hematology and Oncology', 'Nephrology', 'Urology']",2153,Dr. Robert J. Motzer,True,2153.1
Predicts survival for patients with HCC.,metroticket-calculator-hepatocellular-carcinoma-survival,Metroticket Calculator for Hepatocellular Carcinoma (HCC) Survival,[],Metroticket Calculator,Predicts survival for patients with HCC.,Hepatocellular Carcinoma,Gastrointestinal,"['metro', 'milan', 'hcc', 'vascular invasion', 'invasion', 'liver transplant', 'transplant']",Prognosis,Abdominal Pain,"['Hematology and Oncology', 'Hepatology', 'Hospitalist Medicine', 'Internal Medicine', 'Surgery (General)']",3823,Dr. Vincenzo Mazzaferro,False,
Predicts risk of DVT in patients with peripherally inserted central catheter (PICC).,michigan-risk-score-picc-related-thrombosis,Michigan Risk Score for PICC-Related Thrombosis,[],Michigan Risk Score,PICC-related DVT.,"['Deep Venous Thrombosis', 'Pulmonary Embolism', 'VTE']",Vascular,"['vte', 'dvt', 'picc', 'Michigan Risk Score for PICC-Related Thrombosis', 'Michigan Risk Score', 'PICC-Related Thrombosis', 'picc dvt']",Diagnosis,"['Mass', 'Shortness of Breath', 'Weakness']","['Critical Care', 'Emergency Medicine', 'Family Practice', 'Hospitalist Medicine', 'Internal Medicine', 'Primary Care', 'Surgery (Vascular)']",3838,Dr. Vineet Chopra,False,
"Assess suitability of patients for liver transplant with cirrhosis and hepatocellular carcinoma, recommended by <a href=""https://www.mdcalc.com/guidelines/other/treatment-hepatocellular-carcinoma"" target=""_blank"">AASLD guidelines</a>.",milan-criteria-liver-transplantation,Milan Criteria for Liver Transplantation,[],Milan Criteria,Assess suitability of patients for liver transplant.,"['Cirrhosis', 'Hepatitis', 'Hepatocellular Carcinoma']",Gastrointestinal,"['milan', 'hep', 'transplant', 'liver transplant', 'HCC']",[],Abdominal Pain,"['Hematology and Oncology', 'Hepatology', 'Hospitalist Medicine', 'Internal Medicine', 'Surgery (General)']",3900,Dr. Vincenzo Mazzaferro,False,
Predicts risk of pathologic fracture in patients with long bone metastasis.,mirels-criteria-prophylactic-fixation,Mirels’ Criteria for Prophylactic Fixation,[],Mirels’ Criteria,Fracture risk with bone mets.,"['Cancer', 'Fracture']",Musculoskeletal,"['Mirel', ""mirel's"", 'mirels', 'mirel criteria', 'Harrington', 'long bone', 'bone mets', 'bony mets', 'prophylactic fixation', 'IF', 'pathologic fracture', 'fracutre']",Prognosis,"['Extremity Pain', 'Pain']","['Hematology and Oncology', 'Orthopedics', 'Radiation Oncology']",3946,Dr. Hilton Mirels,False,
"Stratifies severity of dyspnea in respiratory diseases, particularly COPD.",mmrc-modified-medical-research-council-dyspnea-scale,mMRC (Modified Medical Research Council) Dyspnea Scale,"Jeremy B. Richards, MD",mMRC Dyspnea Scale,Dyspnea severity.,COPD,Respiratory,"['mmrc', 'mmrcs scale', 'dyspnoea', 'dyspnea scale', 'sob', 'sob scale']","['Diagnosis', 'Prognosis']","['Dyspnea', 'Shortness of Breath']","['Cardiology', 'Family Practice', 'Hospitalist Medicine', 'Internal Medicine', 'Pulmonology', 'Emergency Medicine']",4006,Dr. Donald A. Mahler,True,4006.1
Predicts future asthma in pediatric patients.,modified-asthma-predictive-index-mapi,Modified Asthma Predictive Index (mAPI),[],Modified Asthma Predictive Index,Predicts future asthma diagnosis.,Asthma,Respiratory,"['Mapi', 'api', 'asthma', 'pediatric asthma', 'childhood asthma', 'school']",Diagnosis,"['Shortness of Breath', 'Wheezing']","['Family Practice', 'Internal Medicine', 'Pediatrics', 'Primary Care', 'Pulmonology', 'Allergy and Immunology']",3382,Dr. Timothy S. Chang,False,
Determines the degree of illness of a patient.,modified-early-warning-score-mews-clinical-deterioration,Modified Early Warning Score (MEWS) for Clinical Deterioration,"Kamal Medlej, MD",MEWS Score,Severity screening of declining conditions.,"['Acute Coronary Syndrome', 'CHF', 'Endocarditis', 'Hyperglycemia', 'Hypernatremia', 'Hypertension', 'Myocardial Infarction', 'Respiratory Distress', 'Stroke/TIA', 'Trauma', 'COVID-19', 'Coronavirus']","['Cardiac', 'Respiratory']","['MEWS', 'modified', 'warning score', 'warning', 'covid19', 'covid', 'covid-19', 'covid 19', 'coronavirus']","['Prognosis', 'Treatment']","['AMS', 'Bleeding', 'Chest Pain', 'Fever', 'Seizure']","['Cardiology', 'Critical Care', 'Emergency Medicine', 'Hospitalist Medicine', 'Internal Medicine', 'Surgery (Trauma)']",1875,Dr. Christian Peter Subbe,True,1875.1
Measures the impact fatigue takes on a patient's daily life.,modified-fatigue-impact-scale-mfis,Modified Fatigue Impact Scale (MFIS),[],Modified Fatigue Impact Scale,Daily fatigue impact.,Multiple Sclerosis,Neurologic,"['mfis', 'ms', 'multiple sclerosis', 'daily life', 'function']",Prognosis,Weakness,"['Geriatrics', 'Internal Medicine', 'Neurology', 'Neurosurgery']",2196,Dr. John Fisk,False,
"Stratifies severity of opioid withdrawal in newborns.<br /><span id=""docs-internal-guid-f800958c-6187-0d76-d5ea-599b9b7a56dc"">",modified-finnegan-neonatal-abstinence-score-nas,Modified Finnegan Neonatal Abstinence Score (NAS),[],Neonatal Abstinence Score (NAS) ,Opioid withdrawal in newborns.,Substance Withdrawal,"['Endocrine and Metabolic', 'Neurologic']","['neonatal drug withdrawal', 'Finnegan score', 'neonatal abstinence syndrome', 'NAS', 'Finnegan', 'neonatal abstinence score']",Treatment,Intoxication/Overdose,"['Critical Care (Neonatal)', 'OB-Gyn', 'Pediatrics', 'Pediatric Subspecialty', 'Toxicology']",10048,Dr. Loretta P. Finnegan,False,
States severity of SAH based on amount and type of blood on CT with associated vasospasm risk.,modified-fisher-grading-scale-subarachnoid-hemorrhage-sah,Modified Fisher Grading Scale for Subarachnoid Hemorrhage (SAH),"Benjamin Kummer, MD",Modified Fisher Scale,SAH severity and vasospasm risk,Subarachnoid Hemorrhage,Neurologic,"['fisher', 'SAH', 'asah', 'ICH', 'ivh', 'vasospasm', 'mfisher']",Prognosis,Headache,"['Critical Care (Neurologic)', 'Emergency Medicine', 'Neurology', 'Neurosurgery']",3837,Dr. Jan Claassen,True,3837.1
"Provides improved cancer prognosis over the <calculator id='3311'>original score</calculator>, based on serum biomarkers.",modified-glasgow-prognostic-score-mgps-cancer-outcomes,Modified Glasgow Prognostic Score (mGPS) for Cancer Outcomes,[],mGPS for Cancer Outcomes,Cancer prognosis based on biomarkers.,"['Cancer', 'Chemotherapy', 'Pancreatic Cancer']","['Gastrointestinal', 'Oncologic']","['Crp', 'alb', 'mgps', 'glasgow', 'cancer', 'CA']",Prognosis,"['Abdominal Pain', 'Weakness']","['Family Practice', 'Gastroenterology', 'Hematology and Oncology', 'Hepatology', 'Hospitalist Medicine', 'Internal Medicine', 'Radiation Oncology']",3312,"['Dr. Donald McMillan', 'Dr. Michael J. Proctor']",False,
Grades severity of symptoms in Parkinson’s disease.,modified-hoehn-yahr-scale-parkinsons-disease,Modified Hoehn and Yahr Scale for Parkinson’s Disease,[],Modified Hoehn and Yahr Scale,Parkinson's disease severity.,Parkinson's Disease,Neurologic,"['hoehn', 'yahr', 'hoehn and yahr', 'parkinson', 'parkinsons']",Prognosis,"['Anxious', 'Depressed', 'Muscle Stiffness', 'Pain']",Neurology,3976,"['Dr. Margaret M. Hoehn', 'Dr. Melvin D. Yahr']",False,
Stratifies predicted difficulty of endotracheal intubation based on anatomic features.,modified-mallampati-classification,Modified Mallampati Classification,"Derek Tam, MD, MPH",Modified Mallampati Classification,Predicted endotracheal intubation difficulty.,"['Respiratory Distress', 'Respiratory Failure']",Respiratory,"['et intubation', 'endotracheal intubation', 'et difficulty', 'mallampati', 'mallampati classification', 'malampati', 'laryngoscopy']",Formula,"['Dyspnea', 'Shortness of Breath']","['Anesthesiology', 'Critical Care', 'Emergency Medicine', 'Pulmonology', 'Surgery (General)', 'Surgery (Trauma)']",3989,Dr. Seshagiri R. Mallampati,True,
"Shortened, validated version of the NIHSS.",modified-nih-stroke-scale-score-mnihss,Modified NIH Stroke Scale/Score (mNIHSS),"Daniel Runde, MD",Modified NIH Stroke Scale,"Shortened, validated version of the NIHSS.",Stroke/TIA,"['Cardiac', 'Neurologic']","['tia', 'cva', 'ich']","['Diagnosis', 'Prognosis']","['Headache', 'Weakness']","['Critical Care', 'Critical Care (Neurologic)', 'Emergency Medicine', 'Hospitalist Medicine', 'Internal Medicine', 'Neurology']",1756,Dr. Patrick D. Lyden,True,
